10104,10104
10146,10146
10345,10345
10509,10509
10530,10530
10558,10558
10597,10597
10660,10660
10784,10784
10937,10937
11010,11010
11026,11026
11056,11056
11100,11100
11144,11144
11219,11219
11266,11266
1156,1156
11708,11708
11713,11713
11717,11717
11798,11798
11902,11902
11967,11967
12048,12048
12063,12063
1218,1218
12192,12192
1237,1237
12490,12490
12653,12653
12775,12775
12810,12810
12880,12880
1298,1298
12995,12995
13198,13198
13225,13225
13272,13272
13286,13286
13292,13292
13293,13293
13391,13391
13533,13533
13667,13667
13762,13762
13786,13786
13803,13803
13807,13807
13824,13824
13990,13990
13992,13992
14068,14068
1423,1423
14313,14313
14412,14412
14424,14424
14531,14531
14569,14569
14596,14596
14631,14631
14677,14677
14752,14752
14765,14765
14792,14792
14836,14836
14852,14852
14891,14891
15000,15000
15177,15177
15186,15186
15253,15253
15390,15390
15416,15416
15527,15527
1558,1558
15651,15651
15719,15719
15725,15725
15798,15798
15812,15812
15940,15940
16028,16028
16054,16054
16062,16062
1616,1616
16215,16215
16229,16229
16258,16258
163,163
16303,16303
16536,16536
16543,16543
16667,16667
16705,16705
16753,16753
16771,16771
16835,16835
16888,16888
16944,16944
17016,17016
17069,17069
17091,17091
17224,17224
1723,1723
17232,17232
17306,17306
17360,17360
17394,17394
17469,17469
17565,17565
17576,17576
17577,17577
17605,17605
17635,17635
17643,17643
17663,17663
17678,17678
17697,17697
17714,17714
17851,17851
17873,17873
17878,17878
17891,17891
18034,18034
18130,18130
18131,18131
1816,1816
18377,18377
18413,18413
18448,18448
18492,18492
18493,18493
18757,18757
18761,18761
18816,18816
18839,18839
18860,18860
1889,1889
18923,18923
18935,18935
18958,18958
19136,19136
19164,19164
19173,19173
19205,19205
1921,1921
19218,19218
19251,19251
19261,19261
19331,19331
19429,19429
19547,19547
19604,19604
19634,19634
19651,19651
19740,19740
19764,19764
20032,20032
20120,20120
20467,20467
20677,20677
20702,20702
20755,20755
20909,20909
20918,20918
20941,20941
20958,20958
20964,20964
21045,21045
21389,21389
21646,21646
21806,21806
21914,21914
22022,22022
22077,22077
2208,2208
22206,22206
22443,22443
22479,22479
22498,22498
22547,22547
22627,22627
22633,22633
22896,22896
22901,22901
230,230
23044,23044
23090,23090
23144,23144
23251,23251
23279,23279
23299,23299
23303,23303
23413,23413
23576,23576
23654,23654
23687,23687
23697,23697
23701,23701
23779,23779
23801,23801
23840,23840
23876,23876
24015,24015
24340,24340
24416,24416
24426,24426
24448,24448
24457,24457
24499,24499
24540,24540
24598,24598
24602,24602
2466,2466
24666,24666
24725,24725
24777,24777
24840,24840
24853,24853
2490,2490
25018,25018
25055,25055
25129,25129
25163,25163
25395,25395
25401,25401
25438,25438
25564,25564
25687,25687
25711,25711
25754,25754
2583,2583
25853,25853
2594,2594
25954,25954
25993,25993
26051,26051
2625,2625
26259,26259
26297,26297
26490,26490
26529,26529
26557,26557
26568,26568
26675,26675
26763,26763
26859,26859
27037,27037
27161,27161
27197,27197
27198,27198
2729,2729
27295,27295
27300,27300
27334,27334
27475,27475
27823,27823
28199,28199
28201,28201
28290,28290
28299,28299
28335,28335
28336,28336
28340,28340
2837,2837
28454,28454
28514,28514
28551,28551
28615,28615
28767,28767
2884,2884
28912,28912
29054,29054
29082,29082
29204,29204
29228,29228
29248,29248
29334,29334
29412,29412
29424,29424
29430,29430
29506,29506
29513,29513
29653,29653
29670,29670
29728,29728
29799,29799
29844,29844
29846,29846
29972,29972
30053,30053
30239,30239
30266,30266
30337,30337
3054,3054
30594,30594
30725,30725
30864,30864
31031,31031
31097,31097
3123,3123
31337,31337
314,314
31537,31537
3157,3157
31586,31586
31596,31596
31890,31890
31894,31894
31939,31939
32072,32072
32142,32142
32274,32274
32309,32309
32405,32405
3244,3244
32449,32449
32454,32454
32570,32570
32593,32593
32877,32877
3289,3289
32945,32945
33044,33044
33110,33110
33150,33150
33154,33154
33293,33293
333,333
33484,33484
33493,33493
